open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1733011200000,96475.20,96485.40,96402.60,96484.80,136.853,1733011379999,13197770.19620,3757,68.135,6571261.36280,0
1733011380000,96484.80,96594.80,96467.80,96567.00,281.396,1733011559999,27171659.08290,4176,200.141,19325084.69400,0
1733011560000,96566.90,96603.50,96547.60,96603.40,112.788,1733011739999,10892139.82720,2523,88.421,8539027.98330,0
1733011740000,96603.50,96653.30,96601.10,96616.70,218.597,1733011919999,21121482.17130,2866,145.473,14055835.67300,0
1733011920000,96616.60,96646.30,96600.00,96632.40,124.348,1733012099999,12013951.66590,2122,68.028,6572657.58380,0
1733012100000,96632.50,96653.30,96585.30,96589.50,239.896,1733012279999,23178223.14360,3914,57.320,5537874.19800,0
1733012280000,96589.50,96653.30,96569.70,96653.30,113.438,1733012459999,10959333.75800,2693,58.454,5648145.34590,0
1733012460000,96653.30,96668.60,96592.30,96616.50,92.179,1733012639999,8907936.32640,2507,55.432,5356995.89950,0
1733012640000,96616.50,96685.90,96590.10,96612.50,73.482,1733012819999,7102207.70180,2367,41.561,4017273.16260,0
1733012820000,96612.60,96675.00,96585.40,96669.50,93.836,1733012999999,9067924.87850,2279,68.053,6576358.92320,0
1733013000000,96669.60,96694.60,96650.60,96690.60,113.793,1733013179999,11000809.13580,2324,73.813,7135758.50200,0
1733013180000,96690.50,96746.30,96681.80,96721.40,139.731,1733013359999,13514389.87320,2870,102.473,9910857.63170,0
1733013360000,96721.40,96723.80,96546.60,96561.60,298.519,1733013539999,28845210.76000,5112,99.058,9573341.33290,0
1733013540000,96561.60,96576.40,96441.30,96441.30,229.421,1733013719999,22144166.07690,4480,81.257,7843390.93510,0
1733013720000,96441.30,96447.50,96313.00,96346.10,422.742,1733013899999,40742031.72180,8249,158.684,15294249.55010,0
1733013900000,96346.20,96458.30,96337.10,96407.20,422.718,1733014079999,40755864.53030,6707,319.667,30820256.60260,0
1733014080000,96407.20,96485.60,96335.90,96458.80,430.047,1733014259999,41464961.34420,7376,312.024,30085567.76590,0
1733014260000,96458.70,96510.00,96375.20,96472.20,198.124,1733014439999,19106448.98850,4599,112.412,10840216.86890,0
1733014440000,96472.20,96510.00,96434.00,96472.30,185.029,1733014619999,17851640.66670,3530,84.222,8125555.15700,0
1733014620000,96472.30,96472.40,96343.30,96403.20,274.138,1733014799999,26426233.29880,5463,177.527,17114095.84730,0
1733014800000,96403.20,96480.00,96379.00,96415.50,230.925,1733014979999,22266171.12680,5602,89.758,8654728.57850,0
1733014980000,96415.40,96434.10,96205.20,96228.40,748.973,1733015159999,72103832.96340,10882,184.605,17772064.14000,0
1733015160000,96228.30,96294.90,96212.60,96294.90,273.301,1733015339999,26303786.60200,5394,169.156,16280677.73060,0
1733015340000,96295.10,96343.10,96266.60,96326.90,296.111,1733015519999,28518696.25420,5002,102.253,9847280.38240,0
1733015520000,96326.90,96343.10,96262.60,96323.40,174.077,1733015699999,16763709.09080,4481,112.819,10864117.57310,0
1733015700000,96323.40,96332.00,96234.80,96244.90,267.005,1733015879999,25701838.96930,4967,147.772,14225211.71510,0
1733015880000,96244.90,96334.00,96228.00,96331.40,253.642,1733016059999,24418998.67180,4510,194.112,18688567.91830,0
1733016060000,96331.40,96497.00,96331.30,96497.00,213.296,1733016239999,20567677.61770,4782,152.277,14683723.54900,0
1733016240000,96497.00,96527.60,96480.10,96509.80,232.149,1733016419999,22403752.11170,4662,141.662,13671268.79120,0
1733016420000,96509.80,96538.40,96482.00,96510.20,132.983,1733016599999,12834922.68390,2647,66.358,6404774.69110,0
1733016600000,96510.10,96550.00,96484.50,96532.30,139.169,1733016779999,13433050.02690,3102,89.680,8656125.77970,0
1733016780000,96532.20,96580.60,96526.90,96567.40,150.065,1733016959999,14489576.13530,3300,98.941,9553355.63190,0
1733016960000,96567.40,96586.80,96450.00,96450.00,331.893,1733017139999,32033601.72320,4151,167.108,16128239.83730,0
1733017140000,96450.10,96538.40,96450.00,96538.40,83.903,1733017319999,8095617.97420,2500,40.036,3863033.78640,0
1733017320000,96538.30,96557.10,96500.00,96511.20,107.001,1733017499999,10328892.58820,2358,39.368,3800366.12400,0
1733017500000,96511.30,96601.00,96474.00,96474.10,254.457,1733017679999,24566506.06960,4537,140.514,13567033.03880,0
1733017680000,96474.00,96520.00,96424.40,96468.20,169.135,1733017859999,16317105.97250,4069,85.074,8207427.97450,0
1733017860000,96468.30,96468.30,96230.00,96252.20,435.738,1733018039999,41974257.25610,5895,105.599,10168457.39460,0
1733018040000,96252.20,96275.50,96124.20,96148.00,611.600,1733018219999,58848716.55020,8278,195.976,18861042.24230,0
1733018220000,96147.90,96180.50,96095.20,96164.90,704.106,1733018399999,67689133.80080,9880,319.988,30762959.94150,0
1733018400000,96164.80,96290.90,96123.00,96274.00,502.959,1733018579999,48380640.70390,6581,341.129,32814968.14460,0
1733018580000,96273.90,96274.00,96177.60,96228.10,227.517,1733018759999,21891787.18850,4299,108.453,10435171.03590,0
1733018760000,96228.00,96275.00,96168.50,96267.30,178.288,1733018939999,17153977.23110,3740,85.093,8187635.99300,0
1733018940000,96267.40,96487.00,96124.70,96376.90,3823.051,1733019119999,368210283.75270,43252,1984.083,191111714.06920,0
1733019120000,96377.10,96433.00,96150.10,96221.10,379.384,1733019299999,36520973.67540,9067,174.542,16802811.74140,0
1733019300000,96221.00,96221.00,96121.00,96148.90,312.335,1733019479999,30032403.44820,6740,154.421,14848133.03420,0
1733019480000,96148.90,96314.40,96141.00,96220.10,264.070,1733019659999,25410980.42000,5460,170.862,16440364.32600,0
1733019660000,96220.00,96268.20,96155.00,96186.20,206.138,1733019839999,19832220.94940,5091,79.584,7655705.15160,0
1733019840000,96186.20,96270.00,96141.70,96220.70,165.562,1733020019999,15926287.49390,4288,113.157,10884739.78850,0
1733020020000,96220.60,96235.50,96180.00,96188.90,100.391,1733020199999,9657685.05550,3273,65.867,6336400.39900,0
1733020200000,96188.90,96197.00,96061.20,96098.40,504.051,1733020379999,48434515.99500,7136,112.786,10837410.73850,0
1733020380000,96098.30,96100.10,96000.10,96012.10,416.539,1733020559999,40001846.45570,7193,120.754,11596478.05460,0
1733020560000,96012.00,96043.20,95813.30,95873.00,1696.289,1733020739999,162676187.23210,22533,418.745,40149791.77150,0
1733020740000,95872.90,95918.90,95813.00,95890.00,430.889,1733020919999,41307063.36120,8012,208.429,19981076.81010,0
1733020920000,95890.00,95958.50,95890.00,95937.60,254.997,1733021099999,24460996.10170,5551,166.439,15965613.79430,0
1733021100000,95937.60,96040.40,95925.00,95998.60,268.904,1733021279999,25811300.76140,5330,185.685,17823390.37540,0
1733021280000,95998.60,96012.40,95940.00,95994.00,184.569,1733021459999,17713806.08420,4612,67.894,6515687.67350,0
1733021460000,95994.10,96035.50,95915.30,96035.50,244.859,1733021639999,23500427.54870,4679,84.200,8081559.56840,0
1733021640000,96035.50,96057.40,95870.70,95872.30,298.491,1733021819999,28639836.96270,4302,76.083,7303305.97170,0
1733021820000,95872.30,95872.40,95736.50,95844.90,719.746,1733021999999,68949428.57060,10571,215.748,20669018.96820,0
1733022000000,95844.90,95930.50,95835.40,95929.00,204.109,1733022179999,19569773.33770,4580,115.953,11117270.88340,0
1733022180000,95929.00,96015.00,95928.90,96009.60,227.564,1733022359999,21839831.14290,4225,144.465,13864809.09830,0
1733022360000,96009.60,96027.70,95990.00,96027.60,152.946,1733022539999,14682724.06340,2620,113.276,10874335.14240,0
1733022540000,96027.60,96098.90,96009.60,96098.80,169.826,1733022719999,16312749.80380,3592,133.866,12858966.11840,0
1733022720000,96098.90,96283.50,96098.80,96227.90,547.265,1733022899999,52661766.11760,8019,380.347,36594756.57630,0
1733022900000,96227.90,96228.00,96162.20,96202.90,195.068,1733023079999,18764451.33480,4069,72.472,6971303.83860,0
1733023080000,96202.80,96254.70,96197.00,96215.00,144.673,1733023259999,13921347.35100,2875,80.794,7774766.75350,0
1733023260000,96215.10,96249.90,96125.20,96143.90,135.429,1733023439999,13025183.93010,3206,43.008,4136594.89330,0
1733023440000,96144.00,96150.80,96082.80,96082.80,100.046,1733023619999,9616265.07870,2541,41.829,4020572.87940,0
1733023620000,96082.80,96108.00,96049.70,96108.00,108.957,1733023799999,10468194.58160,2833,60.561,5818668.31420,0
1733023800000,96108.00,96192.00,96095.50,96191.90,295.372,1733023979999,28396370.80260,3551,230.459,22155474.68620,0
1733023980000,96191.90,96216.70,96181.90,96212.00,157.163,1733024159999,15119111.04180,2782,76.553,7364350.81270,0
1733024160000,96212.00,96257.00,96204.50,96227.80,195.818,1733024339999,18842947.87510,2969,136.134,13099906.87370,0
1733024340000,96227.80,96293.60,96227.70,96293.10,175.312,1733024519999,16877533.16130,3175,136.784,13168483.67030,0
1733024520000,96293.00,96377.90,96271.00,96372.10,355.486,1733024699999,34245755.01320,4044,304.554,29338513.21910,0
1733024700000,96372.10,96442.00,96344.60,96441.90,482.679,1733024879999,46534818.12510,6180,298.377,28765884.58230,0
1733024880000,96441.90,96535.00,96441.80,96457.20,794.954,1733025059999,76703790.73720,10665,522.306,50396956.49560,0
1733025060000,96457.20,96476.50,96410.50,96471.50,210.643,1733025239999,20315413.64570,4048,103.156,9949234.65400,0
1733025240000,96471.40,96471.50,96395.00,96395.00,179.199,1733025419999,17278281.93110,3377,74.581,7190865.27560,0
1733025420000,96395.00,96421.00,96378.00,96404.00,110.038,1733025599999,10607115.72760,2642,35.168,3390137.54850,0
1733025600000,96404.00,96425.60,96303.90,96383.30,356.168,1733025779999,34315491.17270,5041,98.355,9476780.80540,0
1733025780000,96383.40,96400.00,96315.30,96315.30,108.643,1733025959999,10467841.77100,3118,28.332,2729847.44530,0
1733025960000,96315.40,96324.00,96269.00,96316.80,233.446,1733026139999,22478607.79080,3001,62.872,6054155.61720,0
1733026140000,96316.70,96390.50,96304.70,96331.30,234.620,1733026319999,22605272.41040,3313,92.416,8903191.30240,0
1733026320000,96331.30,96361.80,96330.20,96341.50,95.860,1733026499999,9235782.62850,1939,41.869,4033844.08850,0
1733026500000,96341.50,96347.50,96260.00,96260.10,93.628,1733026679999,9016794.96350,2143,23.067,2221962.44980,0
1733026680000,96260.10,96308.30,96260.00,96284.00,130.380,1733026859999,12554489.10860,2478,72.936,7023274.74280,0
1733026860000,96284.10,96348.60,96249.10,96348.50,166.384,1733027039999,16022121.67260,3156,58.408,5625469.86410,0
1733027040000,96348.50,96431.30,96331.20,96409.80,254.997,1733027219999,24580002.59130,3636,195.753,18869702.05680,0
1733027220000,96409.80,96464.80,96409.70,96464.70,105.222,1733027399999,10148261.51020,1729,68.441,6600715.95050,0
1733027400000,96464.80,96486.70,96408.40,96408.40,138.358,1733027579999,13345050.98330,2313,36.146,3486649.13200,0
1733027580000,96408.50,96444.00,96400.00,96442.10,126.900,1733027759999,12236526.39580,1793,55.736,5374419.49050,0
1733027760000,96442.20,96459.20,96411.00,96423.30,67.294,1733027939999,6489744.71840,1597,29.752,2869357.14500,0
1733027940000,96423.40,96423.40,96387.00,96411.10,60.005,1733028119999,5784245.23980,1372,11.067,1066793.65870,0
1733028120000,96411.10,96430.00,96411.10,96414.20,64.403,1733028299999,6210056.52400,1396,32.804,3163093.20360,0
1733028300000,96414.10,96436.90,96414.00,96436.90,64.461,1733028479999,6215766.80930,1313,42.130,4062421.57370,0
1733028480000,96436.80,96497.00,96436.80,96464.40,351.129,1733028659999,33872963.80100,4148,106.222,10246585.80270,0
1733028660000,96464.50,96534.60,96464.40,96504.50,129.876,1733028839999,12534615.67950,2475,73.378,7081964.03150,0
1733028840000,96504.40,96505.30,96484.10,96505.30,67.891,1733029019999,6550986.37820,1187,30.503,2943357.52660,0
1733029020000,96505.30,96585.00,96500.90,96572.20,201.247,1733029199999,19430126.18810,3278,148.501,14337782.96790,0
1733029200000,96572.10,96582.80,96510.10,96581.20,208.059,1733029379999,20087996.99590,3208,115.838,11184524.74130,0
1733029380000,96581.10,96581.60,96472.50,96491.10,159.419,1733029559999,15387050.97720,2564,45.241,4367206.71450,0
1733029560000,96491.00,96539.50,96491.00,96513.30,92.965,1733029739999,8973006.18590,2200,54.380,5248675.03620,0
1733029740000,96513.40,96513.40,96475.20,96496.60,91.448,1733029919999,8824128.07510,1773,28.048,2706261.70610,0
